iter	Passed	Remaining
1523	24153	7543
1524	24168	7527
1525	24184	7512
1526	24203	7497
1527	24218	7481
1528	24238	7466
1529	24255	7451
1530	24271	7435
1531	24289	7420
1532	24306	7404
1533	24321	7388
1534	24335	7371
1535	24351	7356
1536	24367	7340
1537	24382	7324
1538	24396	7307
1539	24412	7292
1540	24428	7276
1541	24443	7260
1542	24457	7243
1543	24473	7228
1544	24488	7211
1545	24503	7195
1546	24519	7179
1547	24535	7164
1548	24551	7148
1549	24568	7132
1550	24584	7116
1551	24600	7101
1552	24615	7085
1553	24631	7069
1554	24647	7053
1555	24663	7037
1556	24678	7021
1557	24693	7005
1558	24710	6990
1559	24725	6973
1560	24741	6958
1561	24756	6941
1562	24772	6926
1563	24787	6910
1564	24804	6894
1565	24818	6878
1566	24835	6862
1567	24850	6846
1568	24866	6830
1569	24883	6815
1570	24898	6799
1571	24913	6783
1572	24929	6767
1573	24945	6751
1574	24961	6735
1575	24978	6720
1576	24993	6704
1577	25007	6687
1578	25023	6671
1579	25038	6655
1580	25054	6639
1581	25069	6624
1582	25084	6607
1583	25100	6592
1584	25115	6575
1585	25131	6560
1586	25147	6544
1587	25163	6528
1588	25178	6512
1589	25195	6496
1590	25211	6481
1591	25227	6465
1592	25242	6449
1593	25258	6433
1594	25274	6417
1595	25290	6401
1596	25304	6385
1597	25318	6369
1598	25335	6353
1599	25350	6337
1600	25364	6321
1601	25379	6305
1602	25395	6289
1603	25411	6273
1604	25427	6257
1605	25441	6241
1606	25457	6225
1607	25473	6210
1608	25490	6194
1609	25506	6178
1610	25522	6162
1611	25537	6146
1612	25553	6130
1613	25568	6114
1614	25584	6099
1615	25599	6082
1616	25614	6067
1617	25630	6051
1618	25646	6035
1619	25661	6019
1620	25676	6003
1621	25691	5987
1622	25706	5971
1623	25721	5955
1624	25737	5939
1625	25752	5923
1626	25767	5907
1627	25782	5891
1628	25798	5875
1629	25813	5859
1630	25829	5843
1631	25845	5827
1632	25861	5812
1633	25876	5795
1634	25891	5780
1635	25907	5764
1636	25923	5748
1637	25938	5732
1638	25954	5716
1639	25969	5700
1640	25984	5684
1641	25999	5668
1642	26014	5652
1643	26028	5636
1644	26044	5620
1645	26060	5604
1646	26074	5588
1647	26091	5572
1648	26107	5557
1649	26122	5541
1650	26139	5525
1651	26153	5509
1652	26169	5493
1653	26184	5477
1654	26199	5461
1655	26216	5445
1656	26232	5430
1657	26246	5413
1658	26262	5398
1659	26277	5382
1660	26293	5366
1661	26309	5350
1662	26325	5334
1663	26340	5318
1664	26357	5303
1665	26373	5287
